original_textgrid_file	original_wav_file	extract_sound_file_name	extract_textgrid_file_name	extract_start_time_in_original_file	extract_end_time_in_original_file	interval_label_in_original_file
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait1_<nib>.wav	common_voice_ar_19441274_extrait1_<nib>.TextGrid	0.08	0.68	<nib>
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait2_a.wav	common_voice_ar_19441274_extrait2_a.TextGrid	0.77	0.83	a
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait3_a.wav	common_voice_ar_19441274_extrait3_a.TextGrid	0.91	0.94	a
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait4_a.wav	common_voice_ar_19441274_extrait4_a.TextGrid	1.12	1.17	a
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait5_i:.wav	common_voice_ar_19441274_extrait5_i:.TextGrid	1.39	1.53	i:
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait6_u.wav	common_voice_ar_19441274_extrait6_u.TextGrid	1.63	1.71	u
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait7_i:.wav	common_voice_ar_19441274_extrait7_i:.TextGrid	1.71	1.85	i:
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait8_i:.wav	common_voice_ar_19441274_extrait8_i:.TextGrid	1.98	2.05	i:
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait9_u:.wav	common_voice_ar_19441274_extrait9_u:.TextGrid	2.13	2.21	u:
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait10_i:.wav	common_voice_ar_19441274_extrait10_i:.TextGrid	2.29	2.38	i:
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait11_a:.wav	common_voice_ar_19441274_extrait11_a:.TextGrid	2.5	2.66	a:
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait12_u:.wav	common_voice_ar_19441274_extrait12_u:.TextGrid	2.75	2.95	u:
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait13_<usb>.wav	common_voice_ar_19441274_extrait13_<usb>.TextGrid	3.18	3.35	<usb>
common_voice_ar_19441274.TextGrid	common_voice_ar_19441274.wav	common_voice_ar_19441274_extrait14_<nib>.wav	common_voice_ar_19441274_extrait14_<nib>.TextGrid	3.35	4.06	<nib>
common_voice_ar_19441275.TextGrid	common_voice_ar_19441275.wav	common_voice_ar_19441275_extrait1_<nib>.wav	common_voice_ar_19441275_extrait1_<nib>.TextGrid	0.07	0.52	<nib>
common_voice_ar_19441275.TextGrid	common_voice_ar_19441275.wav	common_voice_ar_19441275_extrait2_a:.wav	common_voice_ar_19441275_extrait2_a:.TextGrid	0.58	0.65	a:
common_voice_ar_19441275.TextGrid	common_voice_ar_19441275.wav	common_voice_ar_19441275_extrait3_a.wav	common_voice_ar_19441275_extrait3_a.TextGrid	0.7	0.77	a
common_voice_ar_19441275.TextGrid	common_voice_ar_19441275.wav	common_voice_ar_19441275_extrait4_a:.wav	common_voice_ar_19441275_extrait4_a:.TextGrid	0.84	0.91	a:
common_voice_ar_19441275.TextGrid	common_voice_ar_19441275.wav	common_voice_ar_19441275_extrait5_i.wav	common_voice_ar_19441275_extrait5_i.TextGrid	0.97	1.02	i
common_voice_ar_19441275.TextGrid	common_voice_ar_19441275.wav	common_voice_ar_19441275_extrait6_a:.wav	common_voice_ar_19441275_extrait6_a:.TextGrid	1.19	1.3	a:
common_voice_ar_19441275.TextGrid	common_voice_ar_19441275.wav	common_voice_ar_19441275_extrait7_a.wav	common_voice_ar_19441275_extrait7_a.TextGrid	1.35	1.42	a
common_voice_ar_19441275.TextGrid	common_voice_ar_19441275.wav	common_voice_ar_19441275_extrait8_u.wav	common_voice_ar_19441275_extrait8_u.TextGrid	1.58	1.65	u
common_voice_ar_19441275.TextGrid	common_voice_ar_19441275.wav	common_voice_ar_19441275_extrait9_a:.wav	common_voice_ar_19441275_extrait9_a:.TextGrid	1.76	1.93	a:
common_voice_ar_19441275.TextGrid	common_voice_ar_19441275.wav	common_voice_ar_19441275_extrait10_i:.wav	common_voice_ar_19441275_extrait10_i:.TextGrid	2.02	2.1	i:
common_voice_ar_19441275.TextGrid	common_voice_ar_19441275.wav	common_voice_ar_19441275_extrait11_a.wav	common_voice_ar_19441275_extrait11_a.TextGrid	2.15	2.21	a
common_voice_ar_19441275.TextGrid	common_voice_ar_19441275.wav	common_voice_ar_19441275_extrait12_<usb>.wav	common_voice_ar_19441275_extrait12_<usb>.TextGrid	2.44	3.18	<usb>
common_voice_ar_19441287.TextGrid	common_voice_ar_19441287.wav	common_voice_ar_19441287_extrait1_<usb>.wav	common_voice_ar_19441287_extrait1_<usb>.TextGrid	0.07	0.33	<usb>
common_voice_ar_19441287.TextGrid	common_voice_ar_19441287.wav	common_voice_ar_19441287_extrait2_a.wav	common_voice_ar_19441287_extrait2_a.TextGrid	0.38	0.49	a
common_voice_ar_19441287.TextGrid	common_voice_ar_19441287.wav	common_voice_ar_19441287_extrait3_i:.wav	common_voice_ar_19441287_extrait3_i:.TextGrid	0.49	0.68	i:
common_voice_ar_19441287.TextGrid	common_voice_ar_19441287.wav	common_voice_ar_19441287_extrait4_a:.wav	common_voice_ar_19441287_extrait4_a:.TextGrid	0.75	0.84	a:
common_voice_ar_19441287.TextGrid	common_voice_ar_19441287.wav	common_voice_ar_19441287_extrait5_a.wav	common_voice_ar_19441287_extrait5_a.TextGrid	1.17	1.21	a
common_voice_ar_19441287.TextGrid	common_voice_ar_19441287.wav	common_voice_ar_19441287_extrait6_u:.wav	common_voice_ar_19441287_extrait6_u:.TextGrid	1.25	1.39	u:
common_voice_ar_19441287.TextGrid	common_voice_ar_19441287.wav	common_voice_ar_19441287_extrait7_i:.wav	common_voice_ar_19441287_extrait7_i:.TextGrid	1.45	1.52	i:
common_voice_ar_19441287.TextGrid	common_voice_ar_19441287.wav	common_voice_ar_19441287_extrait8_a:.wav	common_voice_ar_19441287_extrait8_a:.TextGrid	1.59	1.78	a:
common_voice_ar_19441287.TextGrid	common_voice_ar_19441287.wav	common_voice_ar_19441287_extrait9_a.wav	common_voice_ar_19441287_extrait9_a.TextGrid	1.86	1.94	a
common_voice_ar_19441287.TextGrid	common_voice_ar_19441287.wav	common_voice_ar_19441287_extrait10_a.wav	common_voice_ar_19441287_extrait10_a.TextGrid	2.04	2.12	a
common_voice_ar_19441287.TextGrid	common_voice_ar_19441287.wav	common_voice_ar_19441287_extrait11_a:.wav	common_voice_ar_19441287_extrait11_a:.TextGrid	2.29	2.59	a:
common_voice_ar_19441287.TextGrid	common_voice_ar_19441287.wav	common_voice_ar_19441287_extrait12_<usb>.wav	common_voice_ar_19441287_extrait12_<usb>.TextGrid	2.74	3.2	<usb>
common_voice_ar_19441287.TextGrid	common_voice_ar_19441287.wav	common_voice_ar_19441287_extrait13_<usb>.wav	common_voice_ar_19441287_extrait13_<usb>.TextGrid	3.31	3.87	<usb>
common_voice_ar_19441288.TextGrid	common_voice_ar_19441288.wav	common_voice_ar_19441288_extrait1_<usb>.wav	common_voice_ar_19441288_extrait1_<usb>.TextGrid	0.03	0.22	<usb>
common_voice_ar_19441288.TextGrid	common_voice_ar_19441288.wav	common_voice_ar_19441288_extrait2_a:.wav	common_voice_ar_19441288_extrait2_a:.TextGrid	0.26	0.32	a:
common_voice_ar_19441288.TextGrid	common_voice_ar_19441288.wav	common_voice_ar_19441288_extrait3_a.wav	common_voice_ar_19441288_extrait3_a.TextGrid	0.39	0.48	a
common_voice_ar_19441288.TextGrid	common_voice_ar_19441288.wav	common_voice_ar_19441288_extrait4_a:.wav	common_voice_ar_19441288_extrait4_a:.TextGrid	0.63	0.69	a:
common_voice_ar_19441288.TextGrid	common_voice_ar_19441288.wav	common_voice_ar_19441288_extrait5_i:.wav	common_voice_ar_19441288_extrait5_i:.TextGrid	0.77	0.86	i:
common_voice_ar_19441288.TextGrid	common_voice_ar_19441288.wav	common_voice_ar_19441288_extrait6_u:.wav	common_voice_ar_19441288_extrait6_u:.TextGrid	0.93	1.05	u:
common_voice_ar_19441288.TextGrid	common_voice_ar_19441288.wav	common_voice_ar_19441288_extrait7_a.wav	common_voice_ar_19441288_extrait7_a.TextGrid	1.18	1.21	a
common_voice_ar_19441288.TextGrid	common_voice_ar_19441288.wav	common_voice_ar_19441288_extrait8_a:.wav	common_voice_ar_19441288_extrait8_a:.TextGrid	1.43	1.63	a:
common_voice_ar_19441288.TextGrid	common_voice_ar_19441288.wav	common_voice_ar_19441288_extrait9_<usb>.wav	common_voice_ar_19441288_extrait9_<usb>.TextGrid	1.91	2.69	<usb>
common_voice_ar_19441289.TextGrid	common_voice_ar_19441289.wav	common_voice_ar_19441289_extrait1_<usb>.wav	common_voice_ar_19441289_extrait1_<usb>.TextGrid	0.03	0.23	<usb>
common_voice_ar_19441289.TextGrid	common_voice_ar_19441289.wav	common_voice_ar_19441289_extrait2_a:.wav	common_voice_ar_19441289_extrait2_a:.TextGrid	0.35	0.55	a:
common_voice_ar_19441289.TextGrid	common_voice_ar_19441289.wav	common_voice_ar_19441289_extrait3_u:.wav	common_voice_ar_19441289_extrait3_u:.TextGrid	0.55	0.64	u:
common_voice_ar_19441289.TextGrid	common_voice_ar_19441289.wav	common_voice_ar_19441289_extrait4_i:.wav	common_voice_ar_19441289_extrait4_i:.TextGrid	0.64	0.81	i:
common_voice_ar_19441289.TextGrid	common_voice_ar_19441289.wav	common_voice_ar_19441289_extrait5_u:.wav	common_voice_ar_19441289_extrait5_u:.TextGrid	0.86	0.94	u:
common_voice_ar_19441289.TextGrid	common_voice_ar_19441289.wav	common_voice_ar_19441289_extrait6_a:.wav	common_voice_ar_19441289_extrait6_a:.TextGrid	1.24	1.33	a:
common_voice_ar_19441289.TextGrid	common_voice_ar_19441289.wav	common_voice_ar_19441289_extrait7_<usb>.wav	common_voice_ar_19441289_extrait7_<usb>.TextGrid	1.51	2.43	<usb>
common_voice_ar_19441292.TextGrid	common_voice_ar_19441292.wav	common_voice_ar_19441292_extrait1_i:.wav	common_voice_ar_19441292_extrait1_i:.TextGrid	0.45	0.53	i:
common_voice_ar_19441292.TextGrid	common_voice_ar_19441292.wav	common_voice_ar_19441292_extrait2_i:.wav	common_voice_ar_19441292_extrait2_i:.TextGrid	0.81	0.91	i:
common_voice_ar_19441292.TextGrid	common_voice_ar_19441292.wav	common_voice_ar_19441292_extrait3_a.wav	common_voice_ar_19441292_extrait3_a.TextGrid	1.34	1.42	a
common_voice_ar_19441292.TextGrid	common_voice_ar_19441292.wav	common_voice_ar_19441292_extrait4_a.wav	common_voice_ar_19441292_extrait4_a.TextGrid	1.6	1.66	a
common_voice_ar_19441292.TextGrid	common_voice_ar_19441292.wav	common_voice_ar_19441292_extrait5_a.wav	common_voice_ar_19441292_extrait5_a.TextGrid	1.75	1.78	a
common_voice_ar_19441292.TextGrid	common_voice_ar_19441292.wav	common_voice_ar_19441292_extrait6_a.wav	common_voice_ar_19441292_extrait6_a.TextGrid	1.82	1.98	a
common_voice_ar_19441292.TextGrid	common_voice_ar_19441292.wav	common_voice_ar_19441292_extrait7_i:.wav	common_voice_ar_19441292_extrait7_i:.TextGrid	2.35	2.46	i:
common_voice_ar_19441292.TextGrid	common_voice_ar_19441292.wav	common_voice_ar_19441292_extrait8_<usb>.wav	common_voice_ar_19441292_extrait8_<usb>.TextGrid	2.55	3.35	<usb>
common_voice_ar_19441294.TextGrid	common_voice_ar_19441294.wav	common_voice_ar_19441294_extrait1_u.wav	common_voice_ar_19441294_extrait1_u.TextGrid	0.07	0.13	u
common_voice_ar_19441294.TextGrid	common_voice_ar_19441294.wav	common_voice_ar_19441294_extrait2_a:.wav	common_voice_ar_19441294_extrait2_a:.TextGrid	0.25	0.44	a:
common_voice_ar_19441294.TextGrid	common_voice_ar_19441294.wav	common_voice_ar_19441294_extrait3_u.wav	common_voice_ar_19441294_extrait3_u.TextGrid	0.55	0.6	u
common_voice_ar_19441294.TextGrid	common_voice_ar_19441294.wav	common_voice_ar_19441294_extrait4_a.wav	common_voice_ar_19441294_extrait4_a.TextGrid	0.69	0.75	a
common_voice_ar_19441294.TextGrid	common_voice_ar_19441294.wav	common_voice_ar_19441294_extrait5_u:.wav	common_voice_ar_19441294_extrait5_u:.TextGrid	0.75	0.85	u:
common_voice_ar_19441294.TextGrid	common_voice_ar_19441294.wav	common_voice_ar_19441294_extrait6_i.wav	common_voice_ar_19441294_extrait6_i.TextGrid	0.93	0.96	i
common_voice_ar_19441294.TextGrid	common_voice_ar_19441294.wav	common_voice_ar_19441294_extrait7_i:.wav	common_voice_ar_19441294_extrait7_i:.TextGrid	1.06	1.22	i:
common_voice_ar_19441294.TextGrid	common_voice_ar_19441294.wav	common_voice_ar_19441294_extrait8_i.wav	common_voice_ar_19441294_extrait8_i.TextGrid	1.26	1.31	i
common_voice_ar_19441294.TextGrid	common_voice_ar_19441294.wav	common_voice_ar_19441294_extrait9_i:.wav	common_voice_ar_19441294_extrait9_i:.TextGrid	1.77	1.91	i:
common_voice_ar_19441294.TextGrid	common_voice_ar_19441294.wav	common_voice_ar_19441294_extrait10_i:.wav	common_voice_ar_19441294_extrait10_i:.TextGrid	1.98	2.02	i:
common_voice_ar_19441294.TextGrid	common_voice_ar_19441294.wav	common_voice_ar_19441294_extrait11_u:.wav	common_voice_ar_19441294_extrait11_u:.TextGrid	2.14	2.24	u:
common_voice_ar_19441294.TextGrid	common_voice_ar_19441294.wav	common_voice_ar_19441294_extrait12_u.wav	common_voice_ar_19441294_extrait12_u.TextGrid	2.41	2.51	u
common_voice_ar_19441294.TextGrid	common_voice_ar_19441294.wav	common_voice_ar_19441294_extrait13_<usb>.wav	common_voice_ar_19441294_extrait13_<usb>.TextGrid	2.72	3.82	<usb>
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait1_a.wav	common_voice_ar_19441298_extrait1_a.TextGrid	0.36	0.4	a
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait2_i:.wav	common_voice_ar_19441298_extrait2_i:.TextGrid	0.4	0.49	i:
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait3_i:.wav	common_voice_ar_19441298_extrait3_i:.TextGrid	0.69	0.87	i:
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait4_a:.wav	common_voice_ar_19441298_extrait4_a:.TextGrid	1.07	1.19	a:
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait5_i:.wav	common_voice_ar_19441298_extrait5_i:.TextGrid	1.24	1.35	i:
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait6_u:.wav	common_voice_ar_19441298_extrait6_u:.TextGrid	1.41	1.6	u:
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait7_i:.wav	common_voice_ar_19441298_extrait7_i:.TextGrid	1.66	1.75	i:
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait8_a.wav	common_voice_ar_19441298_extrait8_a.TextGrid	1.87	1.96	a
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait9_a:.wav	common_voice_ar_19441298_extrait9_a:.TextGrid	2.1	2.16	a:
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait10_i:.wav	common_voice_ar_19441298_extrait10_i:.TextGrid	2.24	2.32	i:
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait11_a.wav	common_voice_ar_19441298_extrait11_a.TextGrid	2.4	2.46	a
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait12_u.wav	common_voice_ar_19441298_extrait12_u.TextGrid	2.56	2.6	u
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait13_a.wav	common_voice_ar_19441298_extrait13_a.TextGrid	2.76	2.79	a
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait14_i.wav	common_voice_ar_19441298_extrait14_i.TextGrid	3.68	3.76	i
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait15_a.wav	common_voice_ar_19441298_extrait15_a.TextGrid	3.97	4	a
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait16_a:.wav	common_voice_ar_19441298_extrait16_a:.TextGrid	4.09	4.19	a:
common_voice_ar_19441298.TextGrid	common_voice_ar_19441298.wav	common_voice_ar_19441298_extrait17_<usb>.wav	common_voice_ar_19441298_extrait17_<usb>.TextGrid	4.26	5.55	<usb>
common_voice_ar_19441299.TextGrid	common_voice_ar_19441299.wav	common_voice_ar_19441299_extrait1_<usb>.wav	common_voice_ar_19441299_extrait1_<usb>.TextGrid	0.03	0.2	<usb>
common_voice_ar_19441299.TextGrid	common_voice_ar_19441299.wav	common_voice_ar_19441299_extrait2_a:.wav	common_voice_ar_19441299_extrait2_a:.TextGrid	0.48	0.63	a:
common_voice_ar_19441299.TextGrid	common_voice_ar_19441299.wav	common_voice_ar_19441299_extrait3_i:.wav	common_voice_ar_19441299_extrait3_i:.TextGrid	0.76	0.87	i:
common_voice_ar_19441299.TextGrid	common_voice_ar_19441299.wav	common_voice_ar_19441299_extrait4_a:.wav	common_voice_ar_19441299_extrait4_a:.TextGrid	1.11	1.25	a:
common_voice_ar_19441299.TextGrid	common_voice_ar_19441299.wav	common_voice_ar_19441299_extrait5_i.wav	common_voice_ar_19441299_extrait5_i.TextGrid	1.85	1.94	i
common_voice_ar_19441299.TextGrid	common_voice_ar_19441299.wav	common_voice_ar_19441299_extrait6_<usb>.wav	common_voice_ar_19441299_extrait6_<usb>.TextGrid	2.12	3	<usb>
common_voice_ar_19441300.TextGrid	common_voice_ar_19441300.wav	common_voice_ar_19441300_extrait1_a.wav	common_voice_ar_19441300_extrait1_a.TextGrid	0.28	0.35	a
common_voice_ar_19441300.TextGrid	common_voice_ar_19441300.wav	common_voice_ar_19441300_extrait2_i.wav	common_voice_ar_19441300_extrait2_i.TextGrid	0.66	0.69	i
common_voice_ar_19441300.TextGrid	common_voice_ar_19441300.wav	common_voice_ar_19441300_extrait3_<usb>.wav	common_voice_ar_19441300_extrait3_<usb>.TextGrid	1.12	1.37	<usb>
common_voice_ar_19441300.TextGrid	common_voice_ar_19441300.wav	common_voice_ar_19441300_extrait4_<usb>.wav	common_voice_ar_19441300_extrait4_<usb>.TextGrid	1.73	2.07	<usb>
common_voice_ar_19442522.TextGrid	common_voice_ar_19442522.wav	common_voice_ar_19442522_extrait1_<nib>.wav	common_voice_ar_19442522_extrait1_<nib>.TextGrid	0.1	0.46	<nib>
common_voice_ar_19442522.TextGrid	common_voice_ar_19442522.wav	common_voice_ar_19442522_extrait2_u.wav	common_voice_ar_19442522_extrait2_u.TextGrid	0.46	0.49	u
common_voice_ar_19442522.TextGrid	common_voice_ar_19442522.wav	common_voice_ar_19442522_extrait3_<nib>.wav	common_voice_ar_19442522_extrait3_<nib>.TextGrid	0.57	1.14	<nib>
common_voice_ar_19442522.TextGrid	common_voice_ar_19442522.wav	common_voice_ar_19442522_extrait4_a.wav	common_voice_ar_19442522_extrait4_a.TextGrid	1.39	1.44	a
common_voice_ar_19442522.TextGrid	common_voice_ar_19442522.wav	common_voice_ar_19442522_extrait5_a.wav	common_voice_ar_19442522_extrait5_a.TextGrid	1.85	1.97	a
common_voice_ar_19442522.TextGrid	common_voice_ar_19442522.wav	common_voice_ar_19442522_extrait6_u.wav	common_voice_ar_19442522_extrait6_u.TextGrid	2.75	2.78	u
common_voice_ar_19442522.TextGrid	common_voice_ar_19442522.wav	common_voice_ar_19442522_extrait7_<nib>.wav	common_voice_ar_19442522_extrait7_<nib>.TextGrid	2.91	3.31	<nib>
common_voice_ar_19442522.TextGrid	common_voice_ar_19442522.wav	common_voice_ar_19442522_extrait8_u.wav	common_voice_ar_19442522_extrait8_u.TextGrid	3.31	3.37	u
common_voice_ar_19442522.TextGrid	common_voice_ar_19442522.wav	common_voice_ar_19442522_extrait9_<nib>.wav	common_voice_ar_19442522_extrait9_<nib>.TextGrid	3.37	3.84	<nib>
common_voice_ar_19442523.TextGrid	common_voice_ar_19442523.wav	common_voice_ar_19442523_extrait1_<usb>.wav	common_voice_ar_19442523_extrait1_<usb>.TextGrid	0.7	1.02	<usb>
common_voice_ar_19442523.TextGrid	common_voice_ar_19442523.wav	common_voice_ar_19442523_extrait2_i:.wav	common_voice_ar_19442523_extrait2_i:.TextGrid	1.02	1.07	i:
common_voice_ar_19442523.TextGrid	common_voice_ar_19442523.wav	common_voice_ar_19442523_extrait3_<nib>.wav	common_voice_ar_19442523_extrait3_<nib>.TextGrid	1.48	1.57	<nib>
common_voice_ar_19442523.TextGrid	common_voice_ar_19442523.wav	common_voice_ar_19442523_extrait4_u.wav	common_voice_ar_19442523_extrait4_u.TextGrid	1.57	1.62	u
common_voice_ar_19442523.TextGrid	common_voice_ar_19442523.wav	common_voice_ar_19442523_extrait5_<nib>.wav	common_voice_ar_19442523_extrait5_<nib>.TextGrid	2.31	2.8	<nib>
common_voice_ar_19442524.TextGrid	common_voice_ar_19442524.wav	common_voice_ar_19442524_extrait1_<nib>.wav	common_voice_ar_19442524_extrait1_<nib>.TextGrid	0.51	0.76	<nib>
common_voice_ar_19442524.TextGrid	common_voice_ar_19442524.wav	common_voice_ar_19442524_extrait2_<nib>.wav	common_voice_ar_19442524_extrait2_<nib>.TextGrid	1.11	1.38	<nib>
common_voice_ar_19442524.TextGrid	common_voice_ar_19442524.wav	common_voice_ar_19442524_extrait3_u.wav	common_voice_ar_19442524_extrait3_u.TextGrid	1.44	1.47	u
common_voice_ar_19442524.TextGrid	common_voice_ar_19442524.wav	common_voice_ar_19442524_extrait4_<nib>.wav	common_voice_ar_19442524_extrait4_<nib>.TextGrid	1.47	1.75	<nib>
common_voice_ar_19442524.TextGrid	common_voice_ar_19442524.wav	common_voice_ar_19442524_extrait5_u.wav	common_voice_ar_19442524_extrait5_u.TextGrid	1.81	1.86	u
common_voice_ar_19442524.TextGrid	common_voice_ar_19442524.wav	common_voice_ar_19442524_extrait6_<nib>.wav	common_voice_ar_19442524_extrait6_<nib>.TextGrid	1.93	2.34	<nib>
common_voice_ar_19442525.TextGrid	common_voice_ar_19442525.wav	common_voice_ar_19442525_extrait1_<nib>.wav	common_voice_ar_19442525_extrait1_<nib>.TextGrid	0.21	0.44	<nib>
common_voice_ar_19442525.TextGrid	common_voice_ar_19442525.wav	common_voice_ar_19442525_extrait2_<usb>.wav	common_voice_ar_19442525_extrait2_<usb>.TextGrid	0.83	1.97	<usb>
common_voice_ar_19442525.TextGrid	common_voice_ar_19442525.wav	common_voice_ar_19442525_extrait3_<nib>.wav	common_voice_ar_19442525_extrait3_<nib>.TextGrid	2.49	2.79	<nib>
common_voice_ar_19442527.TextGrid	common_voice_ar_19442527.wav	common_voice_ar_19442527_extrait1_<nib>.wav	common_voice_ar_19442527_extrait1_<nib>.TextGrid	0.13	0.73	<nib>
common_voice_ar_19442527.TextGrid	common_voice_ar_19442527.wav	common_voice_ar_19442527_extrait2_<usb>.wav	common_voice_ar_19442527_extrait2_<usb>.TextGrid	1.57	2.25	<usb>
common_voice_ar_19442527.TextGrid	common_voice_ar_19442527.wav	common_voice_ar_19442527_extrait3_<nib>.wav	common_voice_ar_19442527_extrait3_<nib>.TextGrid	2.78	2.92	<nib>
common_voice_ar_19442536.TextGrid	common_voice_ar_19442536.wav	common_voice_ar_19442536_extrait1_a.wav	common_voice_ar_19442536_extrait1_a.TextGrid	0.32	0.37	a
